Rank,Age Rank,Results,Target,Age,First,Last,City,Loc,Finishes
92.60%,96.60%,12,4:51:05,M30-39,Brian,Sharbono,Port Orange,FL,
89.50%,94.40%,59,5:01:04,M50-59,Tommy,Doias,Eureka,MO,
82.40%,82.40%,3,5:26:56,M40-49,Philip,Geha,Lake Mary,FL,
91.60%,98.40%,45,5:30:35,F50-59,Kirsten,Hite,Altamonte Springs,FL,3
79.60%,82.50%,10,5:38:26,M40-49,David,Basanta,Tampa,FL,2
87.20%,91.10%,62,5:47:16,F50-59,Jennifer,Doias,Eureka,MO,
86.50%,98.40%,6,5:50:00,F50-59,Laura,Cole,BROOKSVILLE,FL,
75.70%,88.40%,6,5:55:52,M60-69,Lawrence,Sak,Lake Orion,MI,
75.50%,93.20%,26,5:56:40,M60-69,Richard,Burrell,Vero Beach,FL,
75.20%,85.90%,73,5:58:17,M50-59,Bradford,Lombardi,JENSEN BEACH,FL,
84.50%,88.70%,3,5:58:32,F20-29,Destin,Shortell,Gainesville,FL,
83.40%,92.50%,3,6:03:16,F50-59,Frederique,Roggero,Delray Beach,FL,
73.80%,92.90%,11,6:04:56,M20-29,Nicholas,Angiolilli,West Melbourne,FL,
73.60%,87.50%,4,6:06:04,M40-49,Matthew,Seluk,Lehigh Acres,FL,
73.50%,82.50%,27,6:06:37,M50-59,Mark,Palamar,New Port Richey,FL,6
73.30%,73.10%,2,6:07:22,M50-59,Gordon,Bloom,Saint Cloud,FL,
81.50%,100.00%,10,6:11:36,F30-39,Laura,Bradley,Tampa,FL,
72.10%,83.10%,15,6:13:48,M30-39,Michael,Shep,Venice,FL,
71.80%,77.70%,2,6:15:09,M30-39,Jordan,Prusha,Glenwood,IA,
80.30%,89.00%,3,6:17:20,F50-59,Dana,Peterson,Voorheesville,NY,
79.90%,92.50%,42,6:19:08,F60-69,Noora,Alidina,Clearwater,FL,1
71.00%,78.40%,17,6:19:22,M30-39,Michael,Denning,Winter Haven,FL,
70.70%,88.30%,18,6:21:02,M60-69,Ted,Williamson,Lecanto,FL,
70.60%,70.60%,1,6:21:38,M40-49,George,Kruse,BRADENTON,FL,
70.50%,70.90%,4,6:22:10,M30-39,Craig,Betz,Lakeland,FL,
79.00%,92.00%,11,6:23:30,F40-49,Bridget,Hahm,Land O Lakes,FL,
78.80%,,2,6:24:34,F50-59,Harumi,Kocsi,Tarpon Springs,FL,
69.90%,86.60%,7,6:25:21,M50-59,Chris,Vulpe,Gainesville,FL,
78.40%,79.20%,34,6:26:11,F30-39,Jessica,Vanvalkenburgh,Stuart,FL,
69.00%,90.80%,3,6:30:19,M50-59,Diego,Miron,Delray Beach,FL,
69.00%,57.80%,3,6:30:22,M30-39,Brad,Fetters,Odessa,FL,
68.70%,77.80%,13,6:32:22,M40-49,Roderick,Mcmullen,Tampa,FL,3
68.30%,80.20%,56,6:34:33,M60-69,William,Zulas,Clearwater,FL,1
76.60%,92.20%,20,6:35:25,F50-59,Martha,Mayer,Tampa,FL,
76.20%,82.30%,13,6:37:20,F30-39,Maureen,Hogan,Sarasota,FL,1
76.00%,86.30%,2,6:38:23,F40-49,Maggie,Rezende,MIAMI,FL,
67.60%,,2,6:38:34,M50-59,Eric,Desimone,Lake Worth,FL,
67.20%,83.20%,30,6:40:39,M70+,Daniel,Miller,Brooksville,FL,
66.30%,66.30%,2,6:46:09,M40-49,David,Caudill,INVERNESS,FL,
