Rank,Age Rank,Results,Target,Age,First,Last,City,Loc,Finishes
99.70%,,1,36:34:00,M<20,Oliver,Willumsen,Ashland,OR,
93.80%,95.60%,49,38:52:00,M30-39,Ryan,Ghelfi,Ashland,OR,
91.90%,94.10%,42,39:42:00,M30-39,Brett,Hornig,Ashland,OR,3
90.20%,92.40%,48,40:25:00,M30-39,Kyle,Carson,Ashland,OR,3
86.70%,95.50%,8,42:02:00,M40-49,Brian,Janes,Ashland,OR,1
85.40%,95.90%,7,42:41:00,M30-39,Kyle,Mikolajczyk,Yreka,CA,
83.00%,83.00%,1,43:57:00,M40-49,Jonathan,Mann,Grenada,CA,
78.00%,89.10%,54,46:45:00,M40-49,Pete,Wallstrom,Ashland,OR,6
73.90%,77.00%,8,49:22:00,M30-39,Jeff,Morgan,Medford,OR,
69.40%,72.50%,21,52:33:00,M30-39,Andy,Sutterfield,Medford,OR,
69.20%,84.50%,6,52:44:00,M<20,Canyon,Lowes,St. Augustine,FL,2
88.90%,93.10%,21,54:47:00,F30-39,Madison,Hornig,Ashland,OR,2
87.30%,,1,55:45:00,F50-59,Wendy,Maynard,Ashland,OR,
64.60%,86.20%,18,56:26:00,M60-69,Jeffrey,Stone,Yreka,CA,4
64.10%,78.60%,17,56:55:00,M50-59,Jason,Howard,Central Point,OR,1
61.90%,69.40%,18,58:56:00,M50-59,Aaron,Hoefling,Medford,OR,2
61.80%,71.10%,7,59:02:00,M40-49,Stuart,O'Neill,Ashland,OR,1
60.40%,69.10%,10,1:00:22,M40-49,Charles,Hadley,Central Point,OR,2
60.10%,72.10%,8,1:00:39,M60-69,Kevin,McCarthy,Ashland,OR,
59.60%,72.90%,4,1:01:11,M40-49,Neil,Clooney,Ashland,OR,1
79.20%,78.70%,2,1:01:30,F60-69,Laura,Duncan,Ashland,OR,
59.20%,71.70%,17,1:01:35,M50-59,Mike,Gallagher,Central point,OR,
71.60%,78.30%,20,1:07:58,F40-49,Aysha,Staha,Ashland,OR,4
53.50%,55.00%,2,1:08:11,M30-39,Brian,Crail,Medford,OR,
70.00%,82.50%,115,1:09:33,F50-59,Sharon,Mosley,Eugene,OR,3
68.20%,,1,1:11:21,F30-39,Elizabeth,Tobey,Ashland,OR,
46.70%,72.70%,24,1:18:06,M70+,Larry,Zowada,Ashland,OR,6
43.30%,65.00%,48,1:24:08,M70+,Norman,Shaskey,Yreka,CA,6
56.20%,62.40%,2,1:26:34,F40-49,Karen,Ebersold,Eagle Point,OR,
54.70%,82.40%,18,1:28:58,F70+,Katherine,Wolfe,Ashland,OR,4
47.40%,99.30%,3,1:42:41,F70+,Dru,Griffin,Ashland,OR,
46.10%,46.10%,2,1:45:35,F40-49,Hazer,Willumsen,Houston,TX,
