Rank,Age Rank,Results,Target,Age,First,Last,City,Loc,Finishes
96.40%,99.90%,5,5:10:14,M40-49,Joe,Lyons,Webster Groves,MO,1
96.10%,95.90%,22,5:11:14,M30-39,Justin,Stewart,Springfield,IL,
89.80%,94.40%,1,5:33:08,M20-29,Tim,Fagan,St. Louis,MO,
86.70%,93.10%,11,5:44:56,M30-39,Blake,Pepper,Mountain Home,AR,
86.20%,93.70%,5,5:47:10,M20-29,Russell,Gartner,Hot Springs,AR,
82.20%,91.30%,16,6:04:02,M40-49,Chris,Lyle,Cave Springs,AR,3
80.20%,87.90%,10,6:12:58,M30-39,Jake,Grossbauer,Dittmer,MO,
79.20%,71.70%,6,6:17:43,M30-39,Michael,Clayton,Mountain Home,AR,
77.60%,80.50%,11,6:25:49,M30-39,Patrick,Fagan,Saint Louis,MO,
76.40%,87.00%,5,6:31:31,M40-49,Ryan,Stansfield,San Diego,CA,
73.80%,83.30%,16,6:45:28,M40-49,Paul,Gigliotti,Mountain Home,AR,
87.10%,95.80%,3,6:46:57,F40-49,Jennifer,Arrowsmith,San Diego,CA,
65.80%,73.90%,12,7:34:34,M30-39,Juan,Sánchez,Bartlett,TN,
65.10%,78.20%,25,7:39:23,M50-59,Brenden,Bishop,Batesville,AR,
64.30%,83.40%,26,7:45:36,M50-59,Thomas,Pastore,La Jolla,CA,
63.00%,75.00%,5,7:54:50,M40-49,John,Charles,Winona,MO,
73.50%,96.00%,41,8:02:31,F60-69,Debra,Norman,Napoleon,MO,
72.60%,83.40%,5,8:08:34,F30-39,Mara,Horwitz,St. Louis,MO,
59.90%,62.90%,19,8:19:35,M30-39,Josh,Hinojosa,Rogers,AR,
69.60%,80.60%,9,8:29:35,F40-49,Laura,Peckham,Lone Jack,MO,1
63.20%,78.00%,27,9:20:35,F50-59,Lori,Dather,Conway,AR,
62.10%,75.40%,8,9:30:59,F50-59,Teresa,Taylor,Greenwood,AR,1
52.30%,54.90%,1,9:31:58,M30-39,Drew,Van Es,Russellville,AR,
61.70%,76.80%,20,9:34:52,F60-69,Bea,Mickelson,Hot Springs,AR,
58.50%,87.70%,76,10:05:36,F60-69,Mary,McDonald,Conway,AR,3
